team1_avg_goals,team2_avg_goals,team1_win_rate,team2_win_rate,head_to_head_team1_wins,head_to_head_team2_wins,home_wins,away_wins,home_losses,away_losses,home_matches,away_matches,home_advantage,away_advantage,home_draws,away_draws,home_goals_conceded,away_goals_conceded,home_goals_scored,away_goals_scored,home_goal_diff,away_goal_diff,stage_importance,venue_advantage,outcome
1.8,1.4,0.4,0.4,1,0,2,2,3,3,5,5,-0.19999999999999996,-0.19999999999999996,0,0,10,10,9,7,-1,-3,0.5,1.0,1
4.0,3.0,1.0,0.6,0,0,5,3,0,1,5,5,1.0,0.39999999999999997,0,1,9,4,20,15,11,11,0.5,1.0,0
0.8,1.8,0.8,0.6,1,0,4,3,1,2,5,5,0.6000000000000001,0.19999999999999996,0,0,1,7,4,9,3,2,0.5,1.0,1
2.2,1.0,0.2,0.4,1,0,1,2,3,1,5,5,-0.39999999999999997,0.2,1,2,13,5,11,5,-2,0,0.5,1.0,1
1.6,0.6,0.4,0.0,1,0,2,0,2,5,5,5,0.0,-1.0,1,0,7,18,8,3,1,-15,0.5,1.0,1
0.6,1.6,0.2,0.2,0,1,1,1,1,3,5,5,0.0,-0.39999999999999997,3,1,2,11,3,8,1,-3,0.5,1.0,2
1.2,2.4,0.4,1.0,1,0,2,5,2,0,5,5,0.0,1.0,1,0,7,5,6,12,-1,7,0.5,1.0,1
2.0,2.8,0.6,0.6,1,0,3,3,1,1,5,5,0.39999999999999997,0.39999999999999997,1,1,7,9,10,14,3,5,0.5,1.0,1
2.2,2.0,0.6,1.0,1,0,3,5,1,0,5,5,0.39999999999999997,1.0,1,0,6,1,11,10,5,9,0.5,1.0,1
0.8,2.8,0.2,0.8,0,1,1,4,4,1,5,5,-0.6000000000000001,0.6000000000000001,0,0,16,6,4,14,-12,8,0.5,1.0,2
0.6,2.4,0.4,0.6,0,1,2,3,3,2,5,5,-0.19999999999999996,0.19999999999999996,0,0,9,6,3,12,-6,6,0.5,1.0,2
1.8,2.4,0.2,0.6,0,2,1,3,3,2,5,5,-0.39999999999999997,0.19999999999999996,1,0,14,8,9,12,-5,4,0.5,1.0,2
0.6,2.6,0.2,0.8,2,0,1,4,1,1,5,5,0.0,0.6000000000000001,3,0,3,7,3,13,0,6,0.5,1.0,1
1.6,2.0,0.2,0.6,0,1,1,3,3,2,5,5,-0.39999999999999997,0.19999999999999996,1,0,11,6,8,10,-3,4,0.5,1.0,2
1.0,3.4,0.4,0.6,1,0,2,3,1,1,5,5,0.2,0.39999999999999997,2,1,5,6,5,17,0,11,0.5,1.0,1
0.8,1.8,0.4,0.4,0,2,2,2,3,2,5,5,-0.19999999999999996,0.0,0,1,9,8,4,9,-5,1,0.5,1.0,2
1.4,2.0,0.4,0.8,0,1,2,4,1,1,5,5,0.2,0.6000000000000001,2,0,6,5,7,10,1,5,0.5,1.0,2
